id,FALSE,TRUE,half-true,barely-true,pants-fire,mostly-true
8841.json,0.17049207,0.15184925,0.19929744,0.16767251,0.13895144,0.17173724
6313.json,0.17712355,0.15474086,0.19354443,0.17420344,0.14391722,0.15647054
9550.json,0.16974147,0.15658337,0.19259076,0.17379838,0.13262737,0.17465863
9612.json,0.16759768,0.16320673,0.17630918,0.16757287,0.1563889,0.16892475
13272.json,0.16520008,0.16050439,0.17981185,0.16346456,0.15426688,0.17675225
7562.json,0.16696714,0.15349321,0.20085847,0.17218603,0.13838422,0.16811089
3121.json,0.16414154,0.14881176,0.2074099,0.16672003,0.13332961,0.17958723
9578.json,0.17949429,0.1586804,0.19248931,0.16424917,0.14312209,0.16196473
4553.json,0.17106675,0.15417908,0.19092578,0.16522895,0.14037469,0.17822476
2356.json,0.16582468,0.15571722,0.20093115,0.15939003,0.14947018,0.16866675
3453.json,0.1661188,0.15445109,0.20110187,0.16645283,0.13670726,0.17516817
1066.json,0.16561498,0.15794893,0.20899257,0.16899702,0.13485079,0.16359566
2092.json,0.16749223,0.17133753,0.18850985,0.158454,0.13811728,0.17608908
7442.json,0.17172566,0.1616111,0.1837012,0.17082587,0.14370798,0.16842826
9910.json,0.16614012,0.15784216,0.1841411,0.16857485,0.15104634,0.17225543
11083.json,0.16697565,0.16575848,0.18606319,0.1625436,0.14500412,0.17365491
11443.json,0.17277749,0.16090408,0.18388231,0.1679453,0.14987229,0.16461854
11539.json,0.16521819,0.16159159,0.19607474,0.16244498,0.13689758,0.17777294
2966.json,0.17557105,0.16143785,0.18980403,0.16291909,0.14403078,0.16623715
13367.json,0.17445002,0.1533066,0.18779357,0.16545865,0.14747757,0.17151353
1087.json,0.16700886,0.15832669,0.18990201,0.16511051,0.1385461,0.1811059
267.json,0.16728006,0.16010892,0.19626169,0.16345586,0.13678457,0.17610884
4272.json,0.16600499,0.15980017,0.17893371,0.16926402,0.15216327,0.17383379
8849.json,0.16725256,0.1439423,0.2074241,0.16387506,0.14193368,0.17557232
12542.json,0.17115335,0.15958029,0.17472953,0.16945554,0.15539807,0.16968314
8372.json,0.16991681,0.16157438,0.197042,0.16406809,0.13776642,0.16963224
3518.json,0.16558138,0.14669569,0.20024452,0.17794637,0.14047879,0.16905327
8340.json,0.17521721,0.1581838,0.19780564,0.16111739,0.13693629,0.1707397
10218.json,0.17775618,0.1572926,0.1840757,0.17072837,0.14359044,0.16655678
12698.json,0.17064069,0.16123304,0.19497988,0.16363688,0.14575104,0.16375852
2357.json,0.16601583,0.16293913,0.17637514,0.1701331,0.15771495,0.16682182
7823.json,0.17047912,0.14753099,0.1972001,0.16973534,0.14290285,0.17215157
12541.json,0.1726644,0.15952535,0.18407473,0.17051238,0.15139185,0.16183127
2854.json,0.1677165,0.16089839,0.19246437,0.1710857,0.13700476,0.17083031
4719.json,0.16694258,0.1651065,0.17843617,0.16594727,0.15318611,0.17038141
2072.json,0.17369255,0.16003065,0.17279975,0.16353709,0.15680718,0.17313275
2885.json,0.16717002,0.16076815,0.17224061,0.16564369,0.15958442,0.17459305
13334.json,0.16359228,0.16609831,0.19104074,0.16274883,0.14288177,0.17363812
4820.json,0.16270164,0.16494796,0.19292626,0.16683137,0.13674366,0.17584917
12309.json,0.17593613,0.16037275,0.18153347,0.16873416,0.14175555,0.17166793
1420.json,0.17934813,0.15253316,0.20075275,0.15953296,0.14045955,0.16737333
8761.json,0.1690249,0.15543543,0.20029344,0.16353111,0.13818401,0.17353103
2491.json,0.16695508,0.15856132,0.19585593,0.16747117,0.14752904,0.16362743
1075.json,0.17119335,0.16082796,0.19676319,0.16817258,0.1374675,0.16557546
9762.json,0.16959576,0.1687893,0.18895547,0.15695427,0.14277548,0.17292967
5935.json,0.17151263,0.16510946,0.19104257,0.15739354,0.14562565,0.16931617
2821.json,0.17235868,0.15573101,0.19114764,0.16923355,0.14279468,0.16873449
6370.json,0.16389427,0.16151343,0.18318823,0.16390799,0.15386088,0.17363524
3706.json,0.17543437,0.16363236,0.18891151,0.16282797,0.14379981,0.16539402
10163.json,0.16646011,0.16192326,0.17874841,0.16429275,0.15447934,0.17409611
2796.json,0.17174701,0.15380885,0.19181393,0.16085853,0.14491238,0.17685929
6083.json,0.16401201,0.14973912,0.19691786,0.17218791,0.13890213,0.17824101
5913.json,0.17423701,0.15825634,0.18810289,0.17632888,0.13602911,0.16704568
934.json,0.16886762,0.15742457,0.17987172,0.16939922,0.15577014,0.16866674
2162.json,0.16918586,0.15439665,0.20342289,0.16070174,0.13408847,0.17820443
3161.json,0.17123446,0.15687662,0.20216696,0.15991488,0.14426607,0.16554098
2679.json,0.17087337,0.1599631,0.19555524,0.16572064,0.13869032,0.16919737
8929.json,0.17021042,0.16559893,0.19772753,0.16740823,0.13334209,0.16571282
10040.json,0.16422004,0.16310148,0.18566845,0.16289182,0.15024585,0.17387228
12398.json,0.16852762,0.16312945,0.19857898,0.16664484,0.13420016,0.16891894
2690.json,0.16195078,0.16182142,0.20327877,0.16544673,0.14106478,0.16643749
8667.json,0.17332882,0.16135983,0.19303153,0.16158742,0.13339236,0.17729998
8941.json,0.16360024,0.164026,0.19107313,0.1668031,0.14137618,0.17312136
6821.json,0.16956712,0.1627527,0.18917225,0.1719795,0.1274066,0.1791218
10631.json,0.17514208,0.1636716,0.17340808,0.16349581,0.15196946,0.17231296
6579.json,0.17760444,0.15584645,0.19164436,0.17204332,0.14242953,0.16043189
11400.json,0.16995125,0.15266472,0.20010811,0.17038865,0.1351779,0.17170943
3228.json,0.16796081,0.15048482,0.19250874,0.17528701,0.15026258,0.16349594
9746.json,0.16761278,0.16366202,0.17688692,0.16640574,0.15525185,0.17018066
1915.json,0.17252822,0.16261853,0.1835924,0.1630751,0.14645351,0.17173226
12456.json,0.1703454,0.15616716,0.19180736,0.16520281,0.14633588,0.1701415
4856.json,0.16899234,0.16327126,0.17870131,0.1677822,0.15420066,0.16705222
4698.json,0.17530969,0.15791829,0.181629,0.16428584,0.15349373,0.16736345
2585.json,0.17094626,0.15539241,0.19200842,0.17521581,0.14013949,0.16629764
6604.json,0.16748664,0.15643992,0.18969049,0.16253105,0.15006007,0.17379183
4495.json,0.16896935,0.16545616,0.1940527,0.1575396,0.14490438,0.16907784
8406.json,0.1651681,0.16479334,0.18708216,0.16718906,0.13971575,0.1760516
10147.json,0.16751933,0.1659712,0.18906535,0.16204801,0.13884354,0.17655264
10623.json,0.16731264,0.16792847,0.1739121,0.16424625,0.15668905,0.16991149
2277.json,0.17664154,0.1547619,0.19364817,0.16411905,0.14606476,0.16476458
8146.json,0.17156954,0.15807359,0.19811976,0.16483429,0.1358043,0.17159851
6026.json,0.1738994,0.1547338,0.19778325,0.1634247,0.13864546,0.17151336
13056.json,0.16187575,0.16305035,0.19979088,0.16373864,0.13799734,0.17354694
1103.json,0.17043182,0.16182233,0.20459422,0.16273086,0.127718,0.17270276
4444.json,0.16589303,0.15950453,0.19168718,0.17071903,0.14575396,0.16644225
9269.json,0.16826993,0.1643967,0.19078414,0.16203089,0.13997634,0.17454208
4105.json,0.17393683,0.16431527,0.18203746,0.17043011,0.14694716,0.16233322
8533.json,0.17232993,0.16312961,0.19395718,0.16233955,0.13799426,0.17024948
6950.json,0.17451304,0.16556953,0.19082871,0.16387472,0.13315411,0.17205994
13125.json,0.17643687,0.15923002,0.18759793,0.16482031,0.14226893,0.169646
8294.json,0.17237471,0.15284124,0.19140188,0.17146902,0.14008565,0.17182748
9908.json,0.17268278,0.15723461,0.1867163,0.16719587,0.14666092,0.16950947
12424.json,0.16939275,0.16369821,0.17245497,0.16687737,0.15334624,0.1742305
4309.json,0.17167695,0.15817378,0.18514729,0.16144264,0.14945798,0.17410138
110.json,0.17187156,0.16035677,0.17624663,0.16717936,0.15286373,0.1714819
7677.json,0.1741892,0.15773547,0.1887103,0.16826236,0.14005359,0.17104913
4780.json,0.1657827,0.16379598,0.178169,0.16738513,0.15056986,0.17429735
715.json,0.16536725,0.1636811,0.17535482,0.16778336,0.15503395,0.17277947
3107.json,0.16623577,0.15468828,0.2001379,0.16745229,0.13753165,0.17395416
7565.json,0.16394962,0.16207412,0.18967654,0.16225988,0.1452003,0.17683956
8606.json,0.16990954,0.15989707,0.2001391,0.16580425,0.13230997,0.1719401
3869.json,0.1758477,0.16472991,0.17856544,0.1673317,0.14483753,0.16868782
10948.json,0.17195377,0.1638417,0.18692312,0.15822569,0.15471362,0.1643421
12210.json,0.17362279,0.16331324,0.18331482,0.16502959,0.14577065,0.1689489
4119.json,0.17329575,0.16044757,0.1971091,0.1646464,0.1363673,0.1681338
7272.json,0.17096846,0.16345783,0.17993672,0.16903281,0.14787346,0.16873075
12236.json,0.16674414,0.16204277,0.1931351,0.16257069,0.13422735,0.18128
4016.json,0.16717237,0.16394813,0.17224507,0.16387464,0.16239093,0.17036885
6765.json,0.16853057,0.15043677,0.18861744,0.16898689,0.15193444,0.17149396
11867.json,0.17040557,0.15234421,0.19356789,0.1666261,0.14753287,0.16952342
11777.json,0.16782072,0.1606956,0.19025138,0.16273893,0.14677691,0.17171645
9051.json,0.17534158,0.15276009,0.19972384,0.16592461,0.13747631,0.16877356
4243.json,0.16682069,0.16399424,0.17641757,0.16681686,0.15632007,0.16963056
7818.json,0.16863537,0.16777794,0.19114658,0.1583201,0.13216189,0.18195812
10871.json,0.16635375,0.16230255,0.20005018,0.16016485,0.13553062,0.17559806
4710.json,0.17088723,0.1527275,0.18732287,0.16924995,0.15052585,0.16928662
9507.json,0.16030918,0.15161373,0.20183887,0.17149736,0.14086089,0.17387998
11324.json,0.16391678,0.16653425,0.18818273,0.16577925,0.1387324,0.17685463
6046.json,0.17204247,0.1567195,0.20029248,0.16666257,0.13256735,0.17171569
8434.json,0.16727212,0.16469823,0.186376,0.17115349,0.14380677,0.16669336
3637.json,0.1687585,0.16282342,0.17197102,0.16717032,0.15691821,0.17235853
7744.json,0.16620766,0.16158187,0.17907016,0.1703346,0.15437241,0.16843331
2897.json,0.16797006,0.15709893,0.19064766,0.16493575,0.14526512,0.17408249
6060.json,0.17423683,0.15912353,0.18931334,0.167383,0.14287473,0.16706856
603.json,0.16917549,0.1634944,0.17779306,0.16291684,0.16153891,0.16508129
11545.json,0.15625374,0.15853526,0.20117536,0.16553998,0.13951913,0.17897652
10448.json,0.16940726,0.14993307,0.19622904,0.17094147,0.14368238,0.1698068
5461.json,0.16793926,0.16094391,0.18093115,0.16606516,0.15945381,0.16466671
6684.json,0.16848148,0.16475914,0.17168318,0.16693819,0.15200883,0.17612922
450.json,0.17232153,0.15195294,0.18294622,0.17644386,0.14613019,0.1702052
769.json,0.17088991,0.1556191,0.1916639,0.16324194,0.13966769,0.17891742
6425.json,0.16537586,0.1533286,0.1980146,0.17165087,0.1415123,0.17011772
502.json,0.1668054,0.15598157,0.18099208,0.16766551,0.15575682,0.17279859
11711.json,0.16972032,0.15936312,0.18530148,0.1649392,0.14939174,0.17128403
5470.json,0.17155024,0.14917038,0.19255275,0.17087106,0.14217204,0.17368355
8869.json,0.1636554,0.16839904,0.18985187,0.16141528,0.13642538,0.18025309
8159.json,0.1647294,0.15334642,0.18550721,0.17124794,0.1478666,0.17730233
6884.json,0.17241398,0.15091181,0.20043512,0.16053863,0.14095359,0.17474692
10250.json,0.1628976,0.15107444,0.2093404,0.16792385,0.12696652,0.1817972
10757.json,0.17427449,0.1587598,0.18528382,0.1693587,0.14134476,0.17097832
8320.json,0.1629772,0.16124815,0.19636025,0.16213495,0.1393007,0.17797878
5472.json,0.16930135,0.16658327,0.17666471,0.16509318,0.15682462,0.16553289
5505.json,0.16853991,0.15797248,0.17761096,0.16732365,0.15449113,0.17406186
12427.json,0.17497851,0.16328023,0.19557661,0.16604415,0.13376804,0.16635242
11464.json,0.16922948,0.15741985,0.17815779,0.17071356,0.15464644,0.16983294
11778.json,0.16664629,0.16448386,0.18639429,0.16646555,0.1442617,0.17174827
12961.json,0.17252189,0.1528585,0.19592537,0.15707946,0.14068897,0.18092586
10269.json,0.17045993,0.15871057,0.19555983,0.1580339,0.13856462,0.17867118
2833.json,0.16968255,0.15794244,0.19542746,0.1687844,0.13365112,0.17451207
6110.json,0.1690244,0.16372183,0.1821838,0.1669788,0.14727567,0.1708155
13400.json,0.1643098,0.1607069,0.20275486,0.1681978,0.13337885,0.17065188
1251.json,0.16605432,0.16008802,0.18277851,0.16458641,0.16194053,0.16455217
6112.json,0.1675293,0.15934327,0.19275205,0.16630638,0.13508229,0.17898668
6431.json,0.16445607,0.15610746,0.19615978,0.16905154,0.14485511,0.16937006
2615.json,0.17048697,0.1577572,0.19487928,0.16193865,0.13447192,0.18046601
3709.json,0.16681471,0.15551943,0.19750382,0.16844475,0.14011548,0.1716019
2652.json,0.1680382,0.16221042,0.17829075,0.16474326,0.15345116,0.17326626
9146.json,0.1714889,0.15519322,0.20839147,0.16176425,0.13176726,0.1713949
184.json,0.17385454,0.15649487,0.19739254,0.16314581,0.13386685,0.17524536
11764.json,0.16982453,0.15028706,0.1824549,0.1659299,0.15612844,0.17537507
7692.json,0.17749108,0.15154463,0.19570711,0.16412622,0.14940521,0.16172576
7876.json,0.16549875,0.15443213,0.19311158,0.16973248,0.14609537,0.1711296
5171.json,0.17923465,0.15589625,0.19432065,0.17097442,0.14045596,0.15911815
12950.json,0.17668664,0.15342747,0.1978823,0.1718888,0.13374335,0.1663715
11185.json,0.16422044,0.1633043,0.19639623,0.16569267,0.14063299,0.16975334
2412.json,0.17117648,0.16090824,0.18807882,0.16889937,0.14706309,0.16387393
3215.json,0.17155634,0.15929346,0.19984756,0.16736197,0.13493216,0.16700843
948.json,0.1544846,0.16310452,0.18837005,0.16528471,0.14818144,0.18057467
11766.json,0.1651106,0.16041574,0.1761468,0.16636741,0.1570749,0.17488454
592.json,0.16745271,0.16159393,0.19582434,0.16652167,0.14350633,0.16510099
5732.json,0.16489224,0.16204546,0.17659822,0.16532715,0.15756163,0.17357531
12745.json,0.16455077,0.16263627,0.19132224,0.16065846,0.14630479,0.17452738
5017.json,0.17060128,0.15836774,0.17446247,0.16544627,0.15515469,0.17596748
12331.json,0.17205462,0.16240111,0.1826012,0.1652532,0.14829694,0.1693929
10424.json,0.16943114,0.16817684,0.17005046,0.16230425,0.15808228,0.17195496
9091.json,0.16601667,0.16180691,0.20604521,0.1553757,0.1392757,0.17147982
2547.json,0.1711898,0.1635324,0.18315041,0.16713712,0.14818533,0.16680492
12571.json,0.17390612,0.15554062,0.19092442,0.17140132,0.14049605,0.1677315
7810.json,0.16737446,0.15115874,0.185128,0.1757331,0.14907572,0.17153001
10935.json,0.16952537,0.14761639,0.18939409,0.16995397,0.13746002,0.18605028
8433.json,0.16453966,0.15216824,0.1963533,0.16306987,0.14400879,0.17986012
7087.json,0.16980839,0.1607404,0.19345832,0.16712068,0.13854465,0.17032756
1025.json,0.17450319,0.15643823,0.19317688,0.1690456,0.14269954,0.16413653
6386.json,0.1672714,0.1546381,0.19240203,0.17272729,0.14075631,0.17220482
2844.json,0.16649844,0.16132203,0.17690136,0.16583604,0.16294052,0.16650172
2392.json,0.17127807,0.1586275,0.19101562,0.1681401,0.14660466,0.16433409
4708.json,0.16911611,0.15942012,0.19605717,0.17064989,0.13700521,0.16775145
8676.json,0.16873634,0.15814793,0.17682813,0.16804925,0.15856759,0.16967075
8809.json,0.17341922,0.1507613,0.18723664,0.17023776,0.14604679,0.1722983
4095.json,0.17094426,0.1610242,0.1808041,0.16564807,0.1501928,0.17138657
13102.json,0.17116076,0.1518121,0.1954185,0.17273001,0.14052565,0.168353
12167.json,0.176308,0.15366246,0.18753555,0.16911122,0.14647442,0.16690832
2876.json,0.16620071,0.15801728,0.20081423,0.16199426,0.14177728,0.17119616
4769.json,0.16931023,0.15823989,0.18598364,0.17185979,0.1478261,0.16678043
1760.json,0.1616956,0.15807901,0.20716886,0.16498719,0.13442644,0.17364286
12943.json,0.16072255,0.16171071,0.20072564,0.16383122,0.13936731,0.17364264
6513.json,0.17121118,0.1631291,0.20001738,0.16050674,0.13781886,0.16731673
7780.json,0.17391685,0.15836295,0.20299338,0.15864834,0.13386358,0.17221487
7418.json,0.17097384,0.16247766,0.19281194,0.16054115,0.1457989,0.16739653
2777.json,0.16933347,0.15842472,0.18829428,0.16473724,0.14933899,0.16987135
8853.json,0.1754328,0.15378022,0.18846932,0.16469905,0.15033434,0.16728432
7758.json,0.17267293,0.16501796,0.1759147,0.16206647,0.15194911,0.17237882
11796.json,0.16968924,0.15418331,0.19573745,0.16994414,0.14448851,0.16595736
11573.json,0.16772196,0.15809989,0.18865514,0.16364536,0.1427847,0.179093
9521.json,0.16659564,0.15714629,0.20183697,0.17408305,0.13470694,0.16563107
10208.json,0.16250703,0.16194545,0.1966389,0.16177349,0.1412766,0.17585851
5756.json,0.17010799,0.16208798,0.17104493,0.17049007,0.15399657,0.17227241
1569.json,0.17048275,0.14996368,0.2130504,0.16920055,0.13021684,0.16708568
11805.json,0.1684388,0.15870446,0.18891916,0.1641059,0.14604458,0.17378715
805.json,0.1694385,0.16326119,0.17275712,0.16807668,0.1552349,0.17123167
8030.json,0.17519186,0.15852167,0.18316486,0.16913068,0.1378944,0.17609651
7678.json,0.17882879,0.15469363,0.18525101,0.16979712,0.14794615,0.16348325
139.json,0.17455536,0.15191185,0.19592707,0.16647254,0.14443113,0.16670203
7271.json,0.17877242,0.14290282,0.20555268,0.16733016,0.14717802,0.15826395
11409.json,0.17057745,0.15857679,0.19200477,0.173847,0.13692044,0.16807348
688.json,0.16927616,0.16089995,0.17895761,0.163055,0.15429771,0.1735135
3726.json,0.1654072,0.16845013,0.18873593,0.15963414,0.14065515,0.17711739
7461.json,0.15636359,0.16378658,0.18448405,0.16666275,0.14975831,0.17894472
5363.json,0.16994263,0.16581696,0.17052045,0.16677344,0.15385245,0.17309403
9942.json,0.16481155,0.16631548,0.1852906,0.16506769,0.1487892,0.16972548
3575.json,0.16545887,0.16081327,0.17995387,0.16500874,0.15607628,0.17268892
2205.json,0.17117617,0.15874054,0.19878386,0.17086327,0.13595772,0.1644784
7552.json,0.16898057,0.16129102,0.19737771,0.16334334,0.13384457,0.17516269
7135.json,0.17136478,0.14744312,0.20391102,0.1663863,0.128305,0.18258974
384.json,0.16681838,0.1642221,0.1759956,0.16648023,0.15302053,0.17346308
13007.json,0.16962704,0.14877154,0.20768738,0.17336287,0.1282096,0.1723416
12994.json,0.16873163,0.15942979,0.18910418,0.16633907,0.14541505,0.17098017
3436.json,0.16153702,0.16134581,0.1997921,0.16781063,0.14339551,0.16611883
5810.json,0.16828899,0.16245411,0.18831486,0.1618856,0.14909332,0.16996309
6141.json,0.16568474,0.16134006,0.1916887,0.16824201,0.14278924,0.17025527
6.json,0.1754804,0.15893354,0.19163053,0.16710353,0.14045006,0.16640198
9891.json,0.16432592,0.16438909,0.19038291,0.16437703,0.14268602,0.17383899
1971.json,0.17760971,0.15464456,0.18677516,0.17231435,0.14833136,0.16032484
7008.json,0.15914355,0.15769397,0.17943281,0.17208953,0.15498775,0.17665239
8963.json,0.16996843,0.16873197,0.18241796,0.16704547,0.14243683,0.1693994
13040.json,0.17230827,0.14850694,0.19927613,0.17081611,0.1487183,0.16037418
8151.json,0.16773479,0.14629741,0.19967923,0.17208031,0.13222101,0.18198727
6236.json,0.16604342,0.15780325,0.2025302,0.1658512,0.14002427,0.16774766
6974.json,0.17652428,0.16247433,0.1860354,0.1652546,0.14208345,0.16762799
6879.json,0.17073491,0.15223134,0.19429645,0.17665759,0.13505147,0.17102818
11639.json,0.17531049,0.16269551,0.19158654,0.16856322,0.14187263,0.15997157
9343.json,0.16909142,0.15917146,0.19429529,0.16347069,0.14597575,0.1679953
422.json,0.16995467,0.16081008,0.176121,0.16824414,0.15342233,0.17144778
1448.json,0.16897029,0.16071174,0.18085094,0.16580139,0.15105024,0.17261542
737.json,0.16891418,0.16420233,0.17654708,0.16962266,0.15453783,0.16617587
10516.json,0.16934133,0.1629906,0.17621116,0.16664112,0.15576237,0.16905335
4750.json,0.17104097,0.15330517,0.18835203,0.1724128,0.14581817,0.16907082
8604.json,0.17980108,0.15767498,0.18992001,0.16337931,0.14040945,0.16881523
729.json,0.1709944,0.1623812,0.17690448,0.16746098,0.1548038,0.16745517
12702.json,0.17152736,0.15710327,0.1984114,0.16784966,0.13891181,0.16619657
8901.json,0.17788796,0.14630736,0.19298673,0.1731796,0.1416922,0.1679462
11546.json,0.16508165,0.16465706,0.17252894,0.16459022,0.16023698,0.17290513
1353.json,0.17215517,0.16515146,0.18322596,0.1678341,0.14757687,0.16405639
5938.json,0.17334557,0.16120096,0.18466066,0.17012681,0.14798206,0.16268392
12158.json,0.16143627,0.1634754,0.18660231,0.16841047,0.14541683,0.17465878
656.json,0.16953364,0.15612148,0.18333541,0.16850322,0.14931732,0.17318895
10085.json,0.17062727,0.15635696,0.17733529,0.17250295,0.15228243,0.17089507
5824.json,0.17457902,0.15732925,0.18514061,0.17129157,0.14060248,0.17105705
5753.json,0.1772947,0.15494731,0.1857743,0.16525327,0.14097638,0.17575411
5512.json,0.17928155,0.15823793,0.19699219,0.16836241,0.13699527,0.16013063
125.json,0.1730987,0.16065243,0.18553719,0.16847222,0.14960729,0.16263218
6010.json,0.16847686,0.15232466,0.20374832,0.16048566,0.1491642,0.16580024
727.json,0.16812363,0.15872389,0.19639513,0.1650755,0.13684036,0.17484148
42.json,0.16740854,0.16300549,0.19264609,0.1631958,0.1370547,0.17668939
8511.json,0.1805649,0.14549103,0.20345205,0.16978137,0.13375463,0.16695596
6262.json,0.16953525,0.15985397,0.17581013,0.16152565,0.1587214,0.17455363
9502.json,0.16423832,0.16142088,0.17792808,0.16695966,0.15460086,0.17485216
11351.json,0.17213452,0.15573974,0.18960904,0.16932884,0.14335644,0.16983137
8558.json,0.17234358,0.14977036,0.18876465,0.17019631,0.14637461,0.1725505
12084.json,0.17270194,0.15723126,0.19182372,0.16784725,0.1395144,0.17088138
568.json,0.17459856,0.15851979,0.19261457,0.17001563,0.13953006,0.1647214
7537.json,0.16279833,0.15368594,0.18835428,0.16595203,0.14616324,0.18304612
9708.json,0.16148347,0.16165544,0.19701524,0.16590582,0.13927634,0.17466362
7524.json,0.16836935,0.166048,0.18084551,0.16678083,0.1481079,0.16984847
4537.json,0.15611888,0.1608082,0.20909616,0.16719833,0.12907471,0.1777037
8549.json,0.16878733,0.1508825,0.19578217,0.17251089,0.14220978,0.1698273
11736.json,0.16857347,0.16579278,0.20975597,0.1677978,0.12460067,0.1634794
8062.json,0.1629932,0.15456855,0.18887381,0.1679342,0.1474445,0.17818579
3158.json,0.1757027,0.1725308,0.1801188,0.16139825,0.13927048,0.17097896
10794.json,0.17415877,0.16340728,0.18935466,0.16493745,0.14382419,0.16431768
12461.json,0.16622815,0.16273387,0.1826821,0.16645597,0.15363225,0.16826765
8609.json,0.16932684,0.16158387,0.17613001,0.1657682,0.1564283,0.17076273
63.json,0.1655768,0.16088226,0.21552536,0.15853862,0.12823386,0.17124318
6560.json,0.16775364,0.16436362,0.18950658,0.16352978,0.13765673,0.17718965
3546.json,0.17263639,0.16511841,0.1869607,0.16362882,0.13977112,0.17188457
3036.json,0.16595924,0.16458999,0.18803236,0.16307105,0.14078213,0.17756516
11910.json,0.16884455,0.16662967,0.18743284,0.1664399,0.13775624,0.17289686
4101.json,0.17247601,0.1651701,0.18997003,0.16819522,0.13713127,0.16705729
10175.json,0.17318118,0.1549192,0.20240466,0.16414787,0.13764918,0.16769782
4593.json,0.16952343,0.15625913,0.19831112,0.16762765,0.13617879,0.17209986
5985.json,0.17240016,0.16113952,0.1984535,0.1603342,0.13225852,0.17541419
1881.json,0.16944174,0.15564314,0.1994954,0.16301905,0.13919665,0.17320399
204.json,0.16660646,0.16788627,0.19157757,0.1617029,0.14836569,0.1638612
10091.json,0.16350135,0.16042367,0.18006355,0.1682262,0.15418747,0.17359783
